ID,Categoria,Subcategoria,Requisito / Atividade,Descrição Técnica,Referência Normativa,Periodicidade,Critério de Aceitação / Tolerância,Sistema Aplicável,Responsável,Instrumento / Equipamento,Penalidade se Descumprido,Observações,Página
RM-001,Metrológico,Calibração,Calibração de medidores de vazão ultrassônicos,Calibração de medidores ultrassônicos (dry calibration) com padrão rastreável ao INMETRO/BIPM. Emissão de certificado com rastreabilidade completa.,API MPMS Cap. 5; RTM ANP; ISO/IEC 17025; ISO 10012,12 meses (dry cal) / 24 meses (wet cal),Desvio máximo conforme classe metrológica definida no apêndice do contrato; certificado com cadeia de rastreabilidade completa,Medição Fiscal / Flowline / Offload,Fiscal Metering Engineer (elaboração) / Document Controller (registro),Medidor ultrassônico; CompactProver; padrões rastreáveis,Multa automática por padrão vencido; serviço nulo sem certificado válido,Listagem por sistema e modelo (não por TAG). Frequência confirmada conforme apêndice A.,1
RM-002,Metrológico,Calibração,Proving (teste de medidor em campo),Calibração em campo do medidor de vazão monofásico (turbina/ultrassônico) usando prover de volume conhecido para verificar acurácia e ajustar fator de medição.,API MPMS Cap. 4; RTM ANP; Procedimento Interno de Proving,Conforme critério ANP / após qualquer intervenção no medidor,"Variação entre corridas consecutivas: ≤ 0,05% (API); fator de medição calculado e registrado",Medição Fiscal Monofásica,Fiscal Metering Engineer (elaboração) / Document Controller (registro),CompactProver; medidor de vazão; computador de vazão (CV),NFSM à ANP se proving inválido; suspensão do uso do medidor,Procedimento crítico auditado pela ANP. Entre os 6 procedimentos prioritários do pacote monofásico.,1
RM-003,Metrológico,Calibração,Calibração de medidores Coriolis,Calibração de medidores Coriolis para medição de óleo e/ou gás. Dry calibration em bancada certificada.,API MPMS; ISO 10790; RTM ANP,12 meses (padrão) / conforme apêndice,Desvio de zero e span dentro de limites de especificação do fabricante e do contrato,Medição Fiscal / Alocação,Fiscal Metering Engineer (elaboração) / Document Controller (registro),Bancada de calibração rastreável; padrões de massa e vazão,Certificado inválido = medição inadmissível para fins fiscais,Incluir no apêndice de equipamentos com frequência específica.,1
RM-004,Metrológico,Calibração,Calibração de analisador de cromatografia (GC),Calibração periódica do cromatógrafo de processo para composição do gás utilizada no cálculo AGA-8.,AGA Report No. 8; AGA Report No. 3; RTM ANP,Mensal (gases padrão) / 6 meses (verificação completa),Composição dentro de incerteza definida; PC e densidade dentro de limites de especificação,Medição Fiscal de Gás,Fiscal Metering Engineer / Laboratório acreditado,Cromatógrafo de processo; cilindros de gás padrão rastreáveis,Dados de composição inválidos afetam faturamento fiscal,Responsabilidade de laboratório acreditado (procedimento próprio). Excluído do escopo imediato do pacote monofásico.,1
RM-005,Metrológico,Padrões de Medição,Controle de validade de padrões metrológicos a bordo,Garantia de que todos os padrões de calibração utilizados a bordo estão dentro do prazo de validade. Remoção preventiva antes do vencimento.,ISO/IEC 17025; RTM ANP; Política interna Equinor,Verificação a cada uso; auditoria mensal pelo Técnico Equinor,Zero padrões vencidos a bordo em qualquer momento. Remoção mínima 30 dias antes do vencimento.,Todos os sistemas de medição,Fiscal Metering Engineer (verificação/auditoria),Registro de padrões com controle de validade; inventário,"Multa automática (penalidade Y2) ao encontrar padrão vencido a bordo, independentemente de uso",Ponto crítico identificado: caso Peregrino (padrão vencido em uso). Cláusula de penalidade automática nos 3 contratos.,1
RM-006,Metrológico,Padrões de Medição,Rastreabilidade metrológica de padrões,Todos os padrões de calibração devem ter cadeia de rastreabilidade documentada até padrões nacionais (INMETRO) ou internacionais (BIPM/NIST).,ISO/IEC 17025; ABNT NBR ISO 10012; VIM,A cada calibração / emissão de certificado,Certificado de calibração do padrão com identificação clara da cadeia de rastreabilidade,Todos os sistemas de medição fiscal e operacional,Fiscal Metering Engineer (verificação),Certificados de calibração dos padrões,Calibração inválida sem rastreabilidade; potencial autuação ANP,Verificação obrigatória antes de aceitar certificado de calibração.,1
RM-007,Metrológico,Fator de Correção,Aplicação e validação de Fator K (fator de correção),Aplicação do fator de correção (Fator K = Valor Padrão / Valor Medido) no sistema FCS após calibração. Validação em múltiplos pontos temporais.,API MPMS Cap. 5; Procedimento Interno de Validação de Fatores K,Após cada calibração que resulte em desvio; revisão mensal,"Fator K calculado confirmado em mínimo 3 pontos temporais distintos (±0,002 entre EC Componet e FCS). HC Total = Óleo Corrigido + Gás Corrigido.",Computador de Vazão (FCS/EC Componet),Fiscal Metering Engineer (elaboração) / Fiscal Metering Team (validação),EC Componet; FCS (Flow Computer System); planilha de validação,Erro de medição fiscal não contabilizado; passivo com ANP e parceiros,Precisão decimal mínima de 3 casas. Timestamp obrigatório em toda mudança de fator K. Validação cruzada EC Componet × FCS.,1
RM-008,Metrológico,Fator de Correção,Consistência HC Total = Óleo + Gás,Verificação matemática de que o total de hidrocarbonetos medidos é igual à soma de suas frações (óleo corrigido + gás corrigido).,Procedimento interno; princípio de conservação de massa,Diária (monitoramento); após cada mudança de fator K,"HC Total Corrigido = Óleo Corrigido + Gás Corrigido (tolerância ≤ 0,1%)",EC Componet / FCS,Fiscal Metering Engineer / Fiscal Metering Team,EC Componet; FCS; planilha de controle,Erro sistemático não identificado na medição fiscal,Verificação diária obrigatória. Anomalia deve gerar investigação imediata.,1
RM-009,Metrológico,Incerteza de Medição,Avaliação de incerteza dos sistemas de medição fiscal,"Cálculo e documentação da incerteza expandida dos sistemas de medição fiscal, conforme ISO GUM e API MPMS.",ISO/IEC Guide 98-3 (GUM); API MPMS Cap. 20.1; ISO 5168,Anual / após modificações no sistema,Incerteza expandida dentro dos limites regulatórios ANP para medição fiscal,Medição Fiscal (todos os pontos),Fiscal Metering Engineer (verificação/auditoria) / Fornecedor (aplicação pós- calibração),Estudos de engenharia; softwares de análise de incerteza,Sistema de medição não aprovado pela ANP para fins fiscais,Estudo de engenharia contratável via PSA (serviço sob demanda / PPU de serviços).,1
RM-010,Operacional,Procedimentos de Campo,Ronda diária de monitoramento,"Verificação diária de campo dos equipamentos de medição: estados, alarmes, anomalias, integridade física dos instrumentos e padrões.",Procedimento Interno (a elaborar); boas práticas de operação,Diária,Checklist completo sem pendências; todas as anomalias registradas; evidência digital no sistema Confirmante,Todos os sistemas topside metering,Fiscal Metering Engineer / Document Controller,Checklist digital (Confirmante); sistema de alarmes,Não conformidade regulatória se lacre violado não detectado; risco de dados inválidos,Um dos 6 procedimentos críticos do pacote monofásico. Automatização de registros prevista (Confirmante/campo).,1
RM-011,Operacional,Procedimentos de Campo,Gestão de lacres (plano de selagem),"Aplicação, registro e controle de lacres físicos e/ou eletrônicos nos pontos de ajuste e calibração dos instrumentos do sistema de medição fiscal.",RTM ANP; Portaria INMETRO; Procedimento Interno de Gestão de Lacres,A cada intervenção; verificação mensal,Todos os pontos de lacre com registro documentado; zero lacres violados sem registro; campos obrigatórios preenchidos conforme ANP,Medição Fiscal (todos os pontos metrológicos),Fiscal Metering Engineer (responsável) / Fiscal Metering Team (execução do campo),Lacres físicos e eletrônicos; registro digital automatizado,Penalidade grave; autuação ANP; invalidação de medições,Procedimento crítico (pacote monofásico). Registros automatizados com campos obrigatórios em desenvolvimento.,1
RM-012,Operacional,Procedimentos de Campo,Integridade do Computador de Vazão (CV),"Verificação e documentação da integridade dos parâmetros, algoritmos e dados inseridos no computador de vazão fiscal. Auditoria de configurações.",API MPMS Cap. 21; RTM ANP; procedimento interno,Mensal / após qualquer intervenção no CV,Todos os parâmetros dentro dos valores aprovados; zero alterações não autorizadas; log de auditoria completo,Computador de Vazão (todos os sistemas fiscais),Fiscal Metering Engineer (R) / Fornecedor (suporte),CV; sistema de auditoria de configurações; planilha de integridade,Invalidação de medição fiscal; autuação ANP; necessidade de NFSM,Procedimento crítico (pacote monofásico). Monitoramento via automação (PH) planejado.,1
RM-013,Operacional,Procedimentos de Campo,Notificação de Falha no Sistema de Medição (NFSM),"Processo formal de comunicação à ANP sobre falhas ou anomalias que impactem a qualidade ou confiabilidade da medição fiscal, dentro dos prazos regulatórios.",RTM ANP; Resolução Conjunta ANP/INMETRO nº 1/2013; RANP,Imediato após identificação de falha (prazos ANP aplicáveis),NFSM emitida dentro do prazo regulatório; todos os campos preenchidos; plano de ação para correção,Todos os sistemas de medição fiscal,Fiscal Metering Engineer (R) / Fornecedor (execução),Sistema de notificação ANP; templates de NFSM; registro interno,Multa ANP por descumprimento de prazo ou não notificação,"Procedimento crítico (pacote monofásico). Cobre: identificação, registro, comunicação e rastreamento.",1
RM-014,Operacional,Validação de Dados,Validação de work orders de calibração,"Verificação pelo Técnico Equinor embarcado de cada work order executada pelo terceirizado, antes do fechamento formal.",Procedimento interno; sistema de gestão Equinor,A cada work order executada,100% das WOs verificadas antes do fechamento; conformidade com critérios de aceitação confirmada e documentada,Todos os contratos de calibração/inspeção,Fiscal Metering Engineer (gestão do plano) / Fiscal Metering Team – Lab (coleta),Sistema de work orders; checklist de validação de WO,WO fechada sem validação = não conformidade contratual e operacional,Técnico Equinor atua como camada de verificação do trabalho do terceirizado.,1
RM-015,Operacional,Validação de Dados,Validação cruzada EC Componet × FCS,Comparação sistemática entre os dados do sistema de aquisição de processo (EC Componet) e o Flow Computer System (FCS) para detecção de inconsistências.,Procedimento interno; boas práticas metrológicas,Semanal (mínimo) / após aplicação de Fator K,"Diferença entre EC Componet e FCS ≤ ±0,002 para os fatores K aplicados; dados consistentes entre sistemas",EC Componet / FCS,Fornecedor (suporte) / Fiscal Metering Engineer (coordenação),EC Componet; FCS; planilha de validação cruzada,Erro sistemático não detectado na medição fiscal; passivo regulatório,"Validação em múltiplos pontos temporais (não apenas um). Tolerância: ±0,002.",1
RM-016,Operacional,Validação de Dados,Validação de dados de BSW (Basic Sediments and Water),Verificação e reconciliação dos dados de BSW provenientes de laboratório e da medição online. Gestão do plano de amostragem físico-química.,API MPMS Cap. 10; RTM ANP,Conforme plano de amostragem (frequência definida no contrato),BSW laboratório validado vs medição online; desvio documentado; dados de amostragem rastreáveis,Medição Fiscal / MPFM,Fiscal Metering Engineer (R) / Fornecedor (se NC de responsabilidade do contrato),Amostrador de processo; laboratório; MPFM,Dados de produção incorretos; impacto em alocação e royalties,"Coordenação com Operações para execução do plano de coleta. BSW baixo identificado (0,04% total no período analisado).",1
RM-017,Operacional,Conformidade Regulatória,Suporte a auditorias da ANP,"Disponibilização de suporte técnico especializado pelo fornecedor durante auditorias regulatórias da ANP, incluindo documentação e rastreabilidade.",RTM ANP; Resolução Conjunta ANP/INMETRO nº 1/2013,Conforme demanda da ANP (suporte 24/7 garantido contratualmente),Tempo de resposta ≤ 2 horas; 240 horas de suporte disponível por auditoria; toda documentação acessível,Todos os sistemas de medição fiscal,Fiscal Metering Team (planejamento) / Fornecedor (execução),Sistema de ticketing; repositório documental (SharePoint),Penalidade contratual (Y2) por não atendimento ao SLA de suporte durante auditoria,SLA diferenciado: resposta em 2h para suporte durante auditoria ANP.,1
RM-018,Operacional,Conformidade Regulatória,Gestão de Não Conformidades (NC) e NFSM,"Registro, análise, comunicação e rastreamento de não conformidades metrológicas, incluindo elaboração de análise de causa raiz (RCA) e plano de ação corretiva.",RTM ANP; ISO 10012; Procedimento interno NC- Medicao,Imediato após identificação; RCA em 15 dias para reincidências,NC registrada e comunicada dentro dos prazos; RCA entregue em até 15 dias; plano de ação implementado e verificado,Todos os sistemas de medição,Fiscal Metering Team (gestão) / Fornecedor (consignação),Sistema de ticketing; templates de NC e NFSM; sistema de gestão,Multa ANP; penalidade contratual progressiva (advertência → multa → rescisão),Reincidência (3ª ocorrência): RCA obrigatória + penalidade financeira de 2% dos serviços do mês.,1
